country_iso3,table_name,record_id,record_name,field_name,claim_summary,source_url,source_authority,source_section_or_page,direct_support,scope_match,current_as_of_2026_06_22,action_taken,notes
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,effective_year,Effective year: 2008,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 title: for students entering 9th grade in 2008-09 and subsequent,yes,yes,yes,kept,
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,English/Language Arts,subject_category,Subject category: English/Language Arts,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: English/Language Arts requirement,yes,yes,yes,corrected,
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,English/Language Arts,credits_required,Credits required: 4,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: English/Language Arts requirement,yes,yes,yes,corrected,
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,English/Language Arts,specific_courses,"Specific courses: [""Ninth-Grade Literature and Composition"",""American Literature and Composition""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: English/Language Arts requirement,yes,yes,yes,corrected,
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,English/Language Arts,notes,Notes: 4 units required. One unit Ninth-Grade Literature and Composition. One unit American Literature and Composition. 2 additional English/Language Arts core units from state-approved courses.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: English/Language Arts requirement,yes,yes,yes,corrected,
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,English/Language Arts,requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: English/Language Arts requirement,yes,yes,yes,corrected,
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics,subject_category,Subject category: Mathematics,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Mathematics requirement,yes,yes,yes,corrected,
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics,credits_required,Credits required: 4,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Mathematics requirement,yes,yes,yes,corrected,
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics,specific_courses,"Specific courses: [""Algebra or equivalent"",""Geometry or equivalent"",""Advanced Algebra or equivalent""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(ii) Mathematics,yes,yes,yes,corrected,
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics,notes,"Notes: 4 units required. Must include Algebra, Geometry, and Advanced Algebra or equivalents. The fourth unit must be selected from state-approved mathematics core courses.",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(ii) Mathematics,yes,yes,yes,corrected,
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics,requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Mathematics requirement,yes,yes,yes,corrected,
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science,subject_category,Subject category: Science,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Science requirement,yes,yes,yes,corrected,
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science,credits_required,Credits required: 4,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Science requirement,yes,yes,yes,corrected,
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science,specific_courses,"Specific courses: [""Biology"",""Physical Science or Physics"",""Chemistry, Earth Systems, Environmental Science, or AP/IB course""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Science requirement,yes,yes,yes,corrected,
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science,notes,"Notes: 4 units required. One unit Biology. One unit Physical Science or Physics. One unit Chemistry, Earth Systems, Environmental Science, or an AP/IB course. One additional Science core. The 4th science unit may be used to meet both the science and elective requirements.",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Science requirement,yes,yes,yes,corrected,
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science,requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Science requirement,yes,yes,yes,corrected,
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies,subject_category,Subject category: Social Studies,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Social Studies requirement,yes,yes,yes,corrected,
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies,credits_required,Credits required: 3,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Social Studies requirement,yes,yes,yes,corrected,
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies,specific_courses,"Specific courses: [""United States History"",""World History"",""American Government/Civics"",""Economics""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Social Studies requirement,yes,yes,yes,corrected,
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies,notes,Notes: 3 units required. One unit US History. One unit World History. One-half unit American Government/Civics. One-half unit Economics.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Social Studies requirement,yes,yes,yes,corrected,
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies,requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Social Studies requirement,yes,yes,yes,corrected,
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,"CTAE, Modern Language/Latin, or Fine Arts",subject_category,"Subject category: CTAE, Modern Language/Latin, or Fine Arts",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(v),yes,yes,yes,corrected,
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,"CTAE, Modern Language/Latin, or Fine Arts",credits_required,Credits required: 3,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(v),yes,yes,yes,corrected,
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,"CTAE, Modern Language/Latin, or Fine Arts",specific_courses,Specific courses: [],https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(v),yes,yes,yes,corrected,
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,"CTAE, Modern Language/Latin, or Fine Arts",notes,Notes: 3 units required from CTAE and/or Modern Language/Latin and/or Fine Arts. Students choose from these areas for a total of 3 units.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(v),yes,yes,yes,corrected,
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,"CTAE, Modern Language/Latin, or Fine Arts",requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (5)(v),yes,yes,yes,corrected,
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Health and Physical Education,subject_category,Subject category: Health and Physical Education,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Health and Physical Education requirement,yes,yes,yes,corrected,
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Health and Physical Education,credits_required,Credits required: 1,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Health and Physical Education requirement,yes,yes,yes,corrected,
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Health and Physical Education,specific_courses,"Specific courses: [""Health and Physical Education""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Health and Physical Education requirement,yes,yes,yes,corrected,
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Health and Physical Education,notes,Notes: 1 unit combined Health and Physical Education required.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Health and Physical Education requirement,yes,yes,yes,corrected,
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Health and Physical Education,requirement_type,Requirement type: core,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Health and Physical Education requirement,yes,yes,yes,corrected,
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives,subject_category,Subject category: Electives,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Electives requirement,yes,yes,yes,corrected,
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives,credits_required,Credits required: 4,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Electives requirement,yes,yes,yes,corrected,
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives,specific_courses,Specific courses: [],https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Electives requirement,yes,yes,yes,corrected,
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives,notes,Notes: 4 elective units required. Total minimum 23 units.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Electives requirement,yes,yes,yes,corrected,
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives,requirement_type,Requirement type: elective,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Electives requirement,yes,yes,yes,corrected,
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam,subject_category,Subject category: Exam,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Exam requirement,yes,yes,yes,corrected,
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam,credits_required,Credits required: ,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Exam requirement,yes,yes,yes,corrected,
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam,specific_courses,"Specific courses: [""Literature and Composition II"",""Algebra: Concepts and Connections"",""Biology"",""U.S. History""]",https://apps.gadoe.org/sboe/SBOE%20Rules/160-3-1-.07.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-3-1-.07 Section (2)(j)(1),yes,yes,yes,corrected,
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam,notes,"Students must take designated EOC assessments in these courses, subject to the exemptions in Rule 160-3-1-.07.",https://apps.gadoe.org/sboe/SBOE%20Rules/160-3-1-.07.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-3-1-.07 Section (2)(j),yes,yes,yes,corrected,
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam,requirement_type,Requirement type: exam,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48: Exam requirement,yes,yes,yes,corrected,
USA,education_programs,f586d0da-bcd8-4c24-9e38-31e621758747,Advanced Placement (AP),program_name,Program name: Advanced Placement (AP),https://k12.collegeboard.org/state-policy-funding/georgia,College Board,Georgia state policy page: AP Funding and statewide availability,yes,yes,yes,corrected,
USA,education_programs,f586d0da-bcd8-4c24-9e38-31e621758747,Advanced Placement (AP),description,Georgia provides partial state funding for AP Exams for eligible public-school students.,https://k12.collegeboard.org/state-policy-funding/georgia,College Board,Georgia page section AP Funding,yes,yes,yes,corrected,
USA,education_programs,f586d0da-bcd8-4c24-9e38-31e621758747,Advanced Placement (AP),availability_scope,Availability scope: state,https://k12.collegeboard.org/state-policy-funding/georgia,College Board,Georgia state policy page: AP Funding and statewide availability,yes,yes,yes,corrected,
USA,education_programs,f586d0da-bcd8-4c24-9e38-31e621758747,Advanced Placement (AP),website_url,Website URL: https://k12.collegeboard.org/state-policy-funding/georgia,https://k12.collegeboard.org/state-policy-funding/georgia,College Board,Georgia state policy page: AP Funding and statewide availability,yes,yes,yes,corrected,
USA,education_programs,358c7d8e-369e-4f08-9499-e31f315121b6,Dual Enrollment,program_name,Program name: Dual Enrollment,https://gadoe.org/ctae/dual-enrollment-articulation/,Georgia Department of Education,Page section Dual Enrollment,yes,yes,yes,corrected,
USA,education_programs,358c7d8e-369e-4f08-9499-e31f315121b6,Dual Enrollment,description,Qualified Georgia students in grades 10-12 may earn high school and college credit simultaneously by passing approved college classes.,https://gadoe.org/ctae/dual-enrollment-articulation/,Georgia Department of Education,Page section Dual Enrollment,yes,yes,yes,corrected,
USA,education_programs,358c7d8e-369e-4f08-9499-e31f315121b6,Dual Enrollment,availability_scope,Availability scope: state,https://gadoe.org/ctae/dual-enrollment-articulation/,Georgia Department of Education,Page section Dual Enrollment,yes,yes,yes,corrected,
USA,education_programs,358c7d8e-369e-4f08-9499-e31f315121b6,Dual Enrollment,website_url,Website URL: https://gadoe.org/ctae/dual-enrollment-articulation/,https://gadoe.org/ctae/dual-enrollment-articulation/,Georgia Department of Education,Page section Dual Enrollment,yes,yes,yes,corrected,
IND,curricula,6a8f09bc-62e1-4408-99a8-ba649c14aa3c,CBSE Secondary (Classes 9-10),name,CBSE Secondary (Classes 9-10),https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website: Board structure and offerings,yes,yes,yes,corrected,
IND,curricula,6a8f09bc-62e1-4408-99a8-ba649c14aa3c,CBSE Secondary (Classes 9-10),grade_range,Grade range: 9-10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum: Part - 1 (Class IX) and Part - 1 (Class X) sections,yes,yes,yes,corrected,
IND,curricula,6a8f09bc-62e1-4408-99a8-ba649c14aa3c,CBSE Secondary (Classes 9-10),authority,Authority: Central Board of Secondary Education,https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website header and about section,yes,yes,yes,corrected,
IND,curricula,6a8f09bc-62e1-4408-99a8-ba649c14aa3c,CBSE Secondary (Classes 9-10),description,"CBSE Secondary Curriculum for Classes 9-10, academic year 2026-27",https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Curriculum for the Academic Year 2026-27: Secondary Curriculum sections,yes,yes,yes,corrected,
IND,curricula,0b065008-1960-480e-87f3-80f560f9a129,CBSE Senior Secondary (Classes 11-12),name,CBSE Senior Secondary (Classes 11-12),https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website: Board structure and offerings,yes,yes,yes,corrected,
IND,curricula,0b065008-1960-480e-87f3-80f560f9a129,CBSE Senior Secondary (Classes 11-12),grade_range,Grade range: 11-12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum: Part - 2 (XI-XII) section,yes,yes,yes,corrected,
IND,curricula,0b065008-1960-480e-87f3-80f560f9a129,CBSE Senior Secondary (Classes 11-12),authority,Authority: Central Board of Secondary Education,https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website header and about section,yes,yes,yes,corrected,
IND,curricula,0b065008-1960-480e-87f3-80f560f9a129,CBSE Senior Secondary (Classes 11-12),description,"CBSE Senior Secondary Curriculum for Classes 11-12, academic year 2026-27",https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Curriculum for the Academic Year 2026-27: Secondary Curriculum Part - 2 (XI-XII) section,yes,yes,yes,corrected,
IND,curriculum_courses,fb29c466-005d-4f6b-9d86-185c628dd9aa,English,course_name_local,Course Name Local: English,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): English under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,fb29c466-005d-4f6b-9d86-185c628dd9aa,English,course_name_english,Course Name English: English,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): English under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,fb29c466-005d-4f6b-9d86-185c628dd9aa,English,grade_level,Grade level: 9,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): English under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,b337d959-4417-4c3c-9151-ef7e4b30f1ac,English - Language and Literature,course_name_local,Course Name Local: English - Language and Literature,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): English - Language and Literature under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,b337d959-4417-4c3c-9151-ef7e4b30f1ac,English - Language and Literature,course_name_english,Course Name English: English - Language and Literature,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): English - Language and Literature under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,b337d959-4417-4c3c-9151-ef7e4b30f1ac,English - Language and Literature,grade_level,Grade level: 10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): English - Language and Literature under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,76e1af17-d6cd-4a23-8611-95697595e724,Mathematics,course_name_local,Course Name Local: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,76e1af17-d6cd-4a23-8611-95697595e724,Mathematics,course_name_english,Course Name English: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,76e1af17-d6cd-4a23-8611-95697595e724,Mathematics,grade_level,Grade level: 9,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,6e659d22-211d-4316-ae9e-345dd13af28c,Mathematics,course_name_local,Course Name Local: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,6e659d22-211d-4316-ae9e-345dd13af28c,Mathematics,course_name_english,Course Name English: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,6e659d22-211d-4316-ae9e-345dd13af28c,Mathematics,grade_level,Grade level: 10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Mathematics under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,8fb8ec1e-aa85-4bc9-8830-36f297106c53,Science,course_name_local,Course Name Local: Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,8fb8ec1e-aa85-4bc9-8830-36f297106c53,Science,course_name_english,Course Name English: Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,8fb8ec1e-aa85-4bc9-8830-36f297106c53,Science,grade_level,Grade level: 9,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,4196f733-7474-4401-a0b2-8f673d12bf97,Science,course_name_local,Course Name Local: Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,4196f733-7474-4401-a0b2-8f673d12bf97,Science,course_name_english,Course Name English: Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,4196f733-7474-4401-a0b2-8f673d12bf97,Science,grade_level,Grade level: 10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,dfcd5f89-d9d9-4181-a056-452497f393a3,Social Science,course_name_local,Course Name Local: Social Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
