jurisdiction,abbreviation,jurisdiction_identity_status,selectability,framework_count,requirement_count,course_catalog_status,program_count,controlling_authority,effective_cohort,semantic_validation_result,live_import_result,remaining_limitations
Massachusetts,MA,verified,selectable_for_planning,0,0,unknown,0,Massachusetts Department of Elementary and Secondary Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Michigan,MI,verified,selectable_for_planning,0,0,unknown,0,Michigan Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Minnesota,MN,verified,selectable_for_planning,0,0,unknown,0,Minnesota Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Mississippi,MS,verified,selectable_for_planning,0,0,unknown,0,Mississippi Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Missouri,MO,verified,selectable_for_planning,0,0,unknown,0,Missouri Department of Elementary and Secondary Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Montana,MT,verified,selectable_for_planning,0,0,unknown,0,Montana Office of Public Instruction,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Nebraska,NE,verified,selectable_for_planning,0,0,unknown,0,Nebraska Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Nevada,NV,verified,selectable_for_planning,0,0,unknown,0,Nevada Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
New Hampshire,NH,verified,selectable_for_planning,0,0,unknown,0,New Hampshire Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
New Jersey,NJ,verified,selectable_for_planning,0,0,unknown,0,New Jersey Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
New Mexico,NM,verified,selectable_for_planning,0,0,unknown,0,New Mexico Public Education Department,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
New York,NY,verified,selectable_for_planning,0,0,unknown,0,New York State Education Department,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
North Carolina,NC,verified,selectable_for_planning,0,0,unknown,0,North Carolina Department of Public Instruction,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
North Dakota,ND,verified,selectable_for_planning,0,0,unknown,0,North Dakota Department of Public Instruction,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Ohio,OH,verified,selectable_for_planning,0,0,unknown,0,Ohio Department of Education and Workforce,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Oklahoma,OK,verified,selectable_for_planning,0,0,unknown,0,Oklahoma State Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Oregon,OR,verified,selectable_for_planning,0,0,unknown,0,Oregon Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Pennsylvania,PA,verified,selectable_for_planning,0,0,unknown,0,Pennsylvania Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Rhode Island,RI,verified,selectable_for_planning,0,0,unknown,0,Rhode Island Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
South Carolina,SC,verified,selectable_for_planning,0,0,unknown,0,South Carolina Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
South Dakota,SD,verified,selectable_for_planning,0,0,unknown,0,South Dakota Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Tennessee,TN,verified,selectable_for_planning,0,0,unknown,0,Tennessee Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Texas,TX,verified,selectable_for_planning,0,0,unknown,0,Texas Education Agency,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Utah,UT,verified,selectable_for_planning,0,0,unknown,0,Utah State Board of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Vermont,VT,verified,selectable_for_planning,0,0,unknown,0,Vermont Agency of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Virginia,VA,verified,selectable_for_planning,0,0,unknown,0,Virginia Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Washington,WA,verified,selectable_for_planning,0,0,unknown,0,Washington Office of Superintendent of Public Instruction,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
West Virginia,WV,verified,selectable_for_planning,0,0,unknown,0,West Virginia Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Wisconsin,WI,verified,selectable_for_planning,0,0,unknown,0,Wisconsin Department of Public Instruction,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
Wyoming,WY,verified,selectable_for_planning,0,0,unknown,0,Wyoming Department of Education,,identity_pass; detailed framework research_pending,not_imported_this_pass,"Detailed standard framework, requirements, assessments, local-control status, course catalog, and programs remain research_pending."
